iter	Passed	Remaining
0	128	128565
1	133	66763
2	136	45524
3	139	34681
4	141	28128
5	148	24551
6	150	21369
7	152	18919
8	154	17002
9	156	15469
10	159	14335
11	162	13375
12	165	12529
13	167	11787
14	169	11130
15	173	10643
16	175	10150
17	177	9703
18	180	9304
19	182	8939
20	193	9034
21	197	8797
22	202	8615
23	206	8390
24	208	8138
25	212	7946
26	214	7747
27	217	7538
28	222	7454
29	224	7268
30	228	7138
31	230	6964
32	231	6797
33	233	6643
34	237	6561
35	241	6462
36	243	6346
37	245	6221
38	247	6101
39	250	6017
40	253	5932
41	256	5847
42	259	5765
43	261	5684
44	264	5621
45	270	5600
46	271	5512
47	273	5426
48	275	5345
49	277	5271
50	279	5197
51	282	5152
52	284	5084
53	286	5023
54	288	4957
55	290	4892
56	292	4844
57	295	4804
58	298	4755
59	299	4698
60	301	4642
61	303	4586
62	305	4538
63	307	4493
64	309	4445
65	313	4434
66	315	4388
67	317	4344
68	318	4302
69	320	4261
70	322	4221
71	324	4182
72	327	4164
73	329	4129
74	331	4092
75	333	4054
76	335	4016
77	337	3990
78	339	3957
79	342	3933
80	344	3909
81	346	3877
82	347	3844
83	350	3816
84	352	3790
85	353	3759
86	355	3730
87	359	3721
88	360	3693
89	362	3669
90	364	3642
91	366	3615
92	368	3589
93	370	3566
94	371	3541
95	374	3529
96	376	3507
97	378	3483
98	380	3459
99	381	3437
100	383	3417
101	385	3394
102	391	3405
103	394	3394
104	396	3376
105	397	3354
106	399	3333
107	401	3317
108	404	3306
109	406	3288
110	408	3271
111	410	3252
112	411	3233
113	413	3216
114	415	3198
115	417	3182
116	421	3180
117	423	3163
118	424	3145
119	426	3130
120	428	3113
121	430	3095
122	431	3079
123	434	3066
124	437	3059
125	438	3043
126	440	3029
127	442	3013
128	444	2999
129	446	2986
130	448	2976
131	453	2984
132	469	3060
133	474	3069
134	485	3112
135	489	3106
136	492	3103
137	495	3096
138	499	3093
139	502	3084
140	504	3071
141	506	3059
142	508	3048
143	510	3035
144	513	3029
145	516	3020
146	518	3010
147	520	2998
148	523	2987
149	526	2981
150	530	2980
151	532	2972
152	534	2959
153	536	2946
154	538	2935
155	540	2922
156	541	2909
157	544	2902
158	547	2897
159	550	2889
160	553	2884
161	555	2875
162	558	2867
163	560	2858
164	564	2854
165	566	2846
166	568	2834
167	570	2823
168	571	2811
169	573	2801
170	575	2790
171	577	2779
172	578	2767
173	580	2755
174	582	2746
175	587	2752
176	591	2749
177	594	2746
178	597	2740
179	601	2738
180	606	2743
181	608	2735
182	610	2724
183	612	2715
184	614	2706
185	617	2701
186	619	2691
187	620	2681
188	622	2671
189	624	2661
190	625	2650
191	627	2641
192	629	2633
193	633	2630
194	635	2622
195	637	2613
196	638	2603
197	640	2595
198	642	2586
199	644	2576
200	646	2569
201	648	2561
202	650	2552
203	651	2543
204	653	2535
205	655	2526
206	657	2517
207	659	2509
208	660	2501
209	663	2494
210	664	2486
211	666	2478
212	668	2470
213	670	2461
214	671	2453
215	673	2446
216	675	2438
217	677	2430
218	679	2423
219	681	2415
220	682	2407
221	684	2399
222	686	2392
223	688	2384
224	690	2377
225	692	2370
226	694	2364
227	695	2356
228	697	2349
229	699	2341
230	701	2333
231	702	2325
232	704	2320
233	706	2313
234	708	2306
235	710	2300
236	712	2293
237	714	2286
238	715	2278
239	717	2272
240	719	2266
241	721	2259
242	723	2253
243	725	2247
244	727	2241
245	728	2234
246	730	2227
247	732	2221
248	734	2214
249	736	2208
250	738	2202
251	740	2197
252	741	2190
253	744	2185
254	745	2178
255	747	2171
256	749	2166
257	751	2160
258	752	2153
259	754	2147
260	757	2143
261	758	2137
262	760	2130
263	762	2125
264	766	2124
265	769	2123
266	772	2119
267	773	2113
268	775	2107
269	777	2101
270	778	2095
271	780	2089
272	782	2083
273	784	2077
274	785	2071
275	788	2067
276	789	2061
277	791	2055
278	793	2050
279	795	2044
280	796	2038
281	798	2033
282	800	2027
283	802	2023
284	804	2017
285	805	2011
286	807	2006
287	809	2001
288	810	1995
289	812	1989
290	814	1985
291	817	1981
292	819	1976
293	821	1972
294	823	1967
295	825	1962
296	827	1958
297	828	1952
298	830	1948
299	833	1944
300	835	1939
301	836	1933
302	838	1928
303	840	1923
304	841	1918
305	843	1913
306	845	1907
307	847	1903
308	849	1899
309	851	1894
310	853	1889
311	854	1884
312	856	1879
313	857	1874
314	859	1870
315	861	1865
316	863	1860
317	865	1856
318	867	1851
319	869	1847
320	870	1842
321	872	1837
322	874	1832
323	876	1828
324	878	1823
325	880	1819
326	881	1814
327	883	1810
328	885	1806
329	887	1801
330	888	1796
331	891	1794
332	893	1789
333	895	1785
334	897	1781
335	899	1777
336	900	1772
337	902	1767
338	904	1763
339	906	1759
340	907	1754
341	909	1750
342	911	1746
343	913	1741
344	915	1737
345	916	1732
346	918	1728
347	921	1725
348	923	1722
349	925	1717
350	926	1713
351	929	1710
352	930	1705
353	932	1701
354	934	1697
355	936	1693
356	937	1689
357	939	1684
358	941	1680
359	943	1676
360	944	1672
361	946	1668
362	948	1664
363	950	1660
364	951	1656
365	953	1652
366	955	1648
367	957	1644
368	959	1640
369	961	1636
370	963	1632
371	968	1634
372	972	1634
373	976	1634
374	979	1632
375	982	1631
376	985	1628
377	988	1627
378	991	1625
379	994	1623
380	996	1619
381	999	1616
382	1001	1613
383	1002	1608
384	1005	1606
385	1008	1603
386	1010	1600
387	1012	1597
388	1014	1592
389	1015	1588
390	1017	1584
391	1019	1581
392	1022	1578
393	1024	1575
394	1025	1571
395	1027	1567
396	1029	1562
397	1030	1559
398	1032	1555
399	1034	1551
400	1036	1548
401	1038	1544
402	1039	1540
403	1041	1536
404	1043	1532
405	1044	1528
406	1046	1524
407	1048	1520
408	1050	1517
409	1052	1514
410	1054	1510
411	1055	1506
412	1057	1502
413	1059	1499
414	1060	1495
415	1063	1492
416	1064	1488
417	1066	1485
418	1068	1481
419	1070	1477
420	1071	1474
421	1073	1470
422	1075	1466
423	1077	1464
424	1079	1460
425	1081	1456
426	1082	1452
427	1084	1449
428	1085	1445
429	1087	1441
430	1089	1437
431	1090	1434
432	1092	1430
433	1094	1427
434	1095	1423
435	1097	1420
436	1099	1416
437	1100	1412
438	1102	1409
439	1104	1405
440	1105	1401
441	1107	1398
442	1109	1395
443	1111	1391
444	1113	1388
445	1114	1384
446	1116	1381
447	1118	1377
448	1119	1374
449	1122	1371
450	1123	1367
451	1125	1364
452	1126	1360
453	1128	1357
454	1130	1353
455	1131	1350
456	1133	1346
457	1134	1343
458	1137	1340
459	1139	1338
460	1141	1334
461	1143	1331
462	1144	1327
463	1146	1324
464	1148	1320
465	1149	1317
466	1151	1314
467	1153	1311
468	1155	1307
469	1156	1304
470	1158	1300
471	1159	1297
472	1161	1293
473	1162	1290
474	1164	1287
475	1166	1284
476	1168	1280
477	1169	1277
478	1171	1274
479	1173	1270
480	1174	1267
481	1176	1264
482	1177	1260
483	1179	1257
484	1181	1254
485	1183	1251
486	1184	1248
487	1186	1244
488	1188	1241
489	1189	1238
490	1191	1235
491	1193	1232
492	1195	1229
493	1198	1227
494	1200	1224
495	1201	1221
496	1203	1218
497	1205	1215
498	1207	1211
499	1208	1208
500	1210	1205
501	1212	1203
502	1214	1200
503	1216	1196
504	1217	1193
505	1219	1190
506	1221	1187
507	1222	1184
508	1224	1181
509	1227	1179
510	1229	1176
511	1231	1173
512	1232	1170
513	1234	1167
514	1236	1164
515	1237	1160
516	1239	1158
517	1241	1155
518	1243	1152
519	1244	1149
520	1246	1146
521	1248	1143
522	1250	1140
523	1251	1137
524	1253	1134
525	1255	1131
526	1257	1128
527	1258	1125
528	1260	1122
529	1262	1119
530	1263	1116
531	1265	1113
532	1267	1110
533	1272	1110
534	1276	1109
535	1278	1106
536	1280	1103
537	1282	1101
538	1288	1102
539	1293	1101
540	1297	1100
541	1303	1101
542	1307	1100
543	1309	1098
544	1312	1095
545	1314	1093
546	1318	1091
547	1320	1089
548	1322	1086
549	1323	1083
550	1325	1080
551	1327	1077
552	1329	1074
553	1332	1072
554	1333	1069
555	1335	1066
556	1337	1063
557	1339	1060
558	1340	1057
559	1342	1054
560	1343	1051
561	1345	1048
562	1348	1046
563	1350	1043
564	1351	1040
565	1353	1038
566	1355	1035
567	1357	1032
568	1358	1029
569	1361	1026
570	1363	1024
571	1365	1021
572	1367	1018
573	1368	1015
574	1370	1013
575	1372	1010
576	1374	1007
577	1376	1004
578	1378	1002
579	1380	999
580	1382	996
581	1384	994
582	1385	991
583	1387	988
584	1389	985
585	1391	982
586	1395	981
587	1397	979
588	1400	976
589	1401	974
590	1403	971
591	1406	969
592	1410	967
593	1412	965
594	1414	963
595	1417	960
596	1418	957
597	1420	954
598	1422	952
599	1424	949
600	1426	947
601	1428	944
602	1429	941
603	1431	938
604	1433	935
605	1434	932
606	1436	929
607	1438	927
608	1440	925
609	1442	922
610	1444	919
611	1446	916
612	1447	913
613	1449	911
614	1450	908
615	1452	905
616	1454	902
617	1456	900
618	1458	897
619	1460	894
620	1461	892
621	1463	889
622	1464	886
623	1466	883
624	1468	880
625	1470	878
626	1472	875
627	1473	872
628	1475	870
629	1477	867
630	1478	864
631	1480	861
632	1482	859
633	1484	856
634	1486	854
635	1488	852
636	1490	849
637	1492	846
638	1493	843
639	1495	841
640	1497	838
641	1498	835
642	1500	833
643	1503	830
644	1504	828
645	1506	825
646	1508	822
647	1509	820
648	1511	817
649	1514	815
650	1516	813
651	1519	810
652	1520	808
653	1522	805
654	1523	802
655	1525	799
656	1527	797
657	1528	794
658	1530	791
659	1532	789
660	1534	786
661	1536	784
662	1537	781
663	1539	778
664	1540	776
665	1542	773
666	1544	771
667	1546	768
668	1549	766
669	1550	763
670	1552	761
671	1554	758
672	1555	755
673	1557	753
674	1559	750
675	1560	748
676	1562	745
677	1564	743
678	1566	740
679	1568	738
680	1570	735
681	1571	732
682	1573	730
683	1575	727
684	1577	725
685	1578	722
686	1581	720
687	1582	717
688	1584	715
689	1586	712
690	1588	710
691	1589	707
692	1591	704
693	1592	702
694	1595	700
695	1597	697
696	1598	694
697	1600	692
698	1602	689
699	1603	687
700	1605	684
701	1606	682
702	1608	679
703	1613	678
704	1615	675
705	1616	673
706	1618	670
707	1620	668
708	1622	665
709	1623	663
710	1625	660
711	1627	658
712	1629	655
713	1630	653
714	1632	650
715	1633	648
716	1635	645
717	1636	642
718	1638	640
719	1640	637
720	1642	635
721	1644	633
722	1646	630
723	1647	628
724	1649	625
725	1651	623
726	1652	620
727	1654	618
728	1656	615
729	1658	613
730	1660	611
731	1662	608
732	1663	606
733	1665	603
734	1667	601
735	1668	598
736	1670	596
737	1672	593
738	1675	591
739	1676	589
740	1678	586
741	1680	584
742	1681	581
743	1683	579
744	1685	576
745	1687	574
746	1689	572
747	1690	569
748	1692	567
749	1694	564
750	1695	562
751	1697	559
752	1699	557
753	1701	555
754	1703	552
755	1705	550
756	1706	547
757	1708	545
758	1710	543
759	1711	540
760	1713	538
761	1715	535
762	1717	533
763	1719	531
764	1721	528
765	1723	526
766	1724	523
767	1726	521
768	1728	519
769	1729	516
770	1731	514
771	1733	511
772	1735	509
773	1737	507
774	1739	504
775	1740	502
776	1742	500
777	1744	497
778	1745	495
779	1747	492
780	1749	490
781	1751	488
782	1753	485
783	1755	483
784	1756	481
785	1758	478
786	1760	476
787	1763	474
788	1767	472
789	1769	470
790	1770	467
791	1772	465
792	1774	463
793	1776	460
794	1778	458
795	1780	456
796	1782	454
797	1784	451
798	1786	449
799	1788	447
800	1789	444
801	1791	442
802	1793	439
803	1795	437
804	1797	435
805	1798	433
806	1800	430
807	1802	428
808	1804	425
809	1805	423
810	1807	421
811	1809	418
812	1811	416
813	1813	414
814	1815	412
815	1817	409
816	1818	407
817	1820	405
818	1822	402
819	1823	400
820	1825	398
821	1827	395
822	1830	393
823	1832	391
824	1836	389
825	1838	387
826	1841	385
827	1843	382
828	1847	381
829	1849	378
830	1851	376
831	1853	374
832	1854	371
833	1856	369
834	1860	367
835	1863	365
836	1866	363
837	1869	361
838	1871	359
839	1873	356
840	1877	354
841	1881	353
842	1883	350
843	1886	348
844	1888	346
845	1890	344
846	1898	343
847	1902	340
848	1903	338
849	1908	336
850	1911	334
851	1914	332
852	1917	330
853	1919	328
854	1922	325
855	1925	323
856	1928	321
857	1930	319
858	1932	317
859	1934	314
860	1938	313
861	1941	310
862	1944	308
863	1945	306
864	1947	303
865	1948	301
866	1950	299
867	1954	297
868	1957	295
869	1960	293
870	1963	290
871	1965	288
872	1966	286
873	1971	284
874	1974	282
875	1976	279
876	1979	277
877	1980	275
878	1982	272
879	1987	270
880	1990	268
881	1992	266
882	1993	264
883	1995	261
884	1997	259
885	2000	257
886	2002	255
887	2004	252
888	2006	250
889	2007	248
890	2009	245
891	2010	243
892	2012	241
893	2017	239
894	2020	237
895	2023	234
896	2027	232
897	2032	230
898	2035	228
899	2038	226
900	2040	224
901	2042	221
902	2044	219
903	2047	217
904	2049	215
905	2050	212
906	2052	210
907	2053	208
908	2055	205
909	2057	203
910	2058	201
911	2060	198
912	2063	196
913	2065	194
914	2066	191
915	2068	189
916	2070	187
917	2071	185
918	2073	182
919	2075	180
920	2077	178
921	2079	175
922	2081	173
923	2082	171
924	2084	169
925	2086	166
926	2087	164
927	2089	162
928	2091	159
929	2093	157
930	2095	155
931	2096	152
932	2099	150
933	2101	148
934	2103	146
935	2105	143
936	2107	141
937	2109	139
938	2111	137
939	2113	134
940	2114	132
941	2116	130
942	2118	128
943	2119	125
944	2121	123
945	2123	121
946	2126	118
947	2127	116
948	2130	114
949	2131	112
950	2133	109
951	2135	107
952	2136	105
953	2138	103
954	2142	100
955	2144	98
956	2147	96
957	2149	94
958	2150	91
959	2152	89
960	2154	87
961	2156	85
962	2158	82
963	2161	80
964	2163	78
965	2164	76
966	2166	73
967	2168	71
968	2169	69
969	2173	67
970	2174	64
971	2176	62
972	2178	60
973	2180	58
974	2181	55
975	2183	53
976	2184	51
977	2187	49
978	2189	46
979	2190	44
980	2192	42
981	2194	40
982	2195	37
983	2197	35
984	2199	33
985	2201	31
986	2203	29
987	2205	26
988	2207	24
989	2208	22
990	2210	20
991	2211	17
992	2214	15
993	2215	13
994	2217	11
995	2219	8
996	2221	6
997	2222	4
998	2224	2
999	2226	0
